issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,64,8,32kB,2,True,1MB,0.880501,145,1292.8,True
2,64,8,32kB,2,True,2MB,0.880501,146,2316.8,False
2,64,8,32kB,4,True,512kB,0.8805,147,781.6,True
2,64,8,32kB,4,True,1MB,0.8805,148,1293.6,True
2,64,8,32kB,4,True,2MB,0.8805,149,2317.6,False
2,64,8,32kB,8,True,512kB,0.880501,150,783.2,True
2,64,8,32kB,8,True,1MB,0.880501,151,1295.2,True
2,64,8,32kB,8,True,2MB,0.880501,152,2319.2,False
2,64,8,64kB,2,True,512kB,0.880558,153,813.6,True
2,64,8,64kB,2,True,1MB,0.880558,154,1325.6,True
2,64,8,64kB,2,True,2MB,0.880558,155,2349.6,False
2,64,8,64kB,4,True,512kB,0.880558,156,815.2,True
2,64,8,64kB,4,True,1MB,0.880558,157,1327.2,True
2,64,8,64kB,4,True,2MB,0.880558,158,2351.2,False
2,64,8,64kB,8,True,512kB,0.880558,159,818.4,True
2,64,8,64kB,8,True,1MB,0.880558,160,1330.4,True
2,64,8,64kB,8,True,2MB,0.880558,161,2354.4,False
2,128,2,16kB,2,True,512kB,0.864732,162,830.4,True
2,128,2,16kB,2,True,1MB,0.864732,163,1342.4,True
2,128,2,16kB,2,True,2MB,0.864732,164,2366.4,False
2,128,2,16kB,4,True,512kB,0.864736,165,830.8,True
2,128,2,16kB,4,True,1MB,0.864736,166,1342.8,True
2,128,2,16kB,4,True,2MB,0.864736,167,2366.8,False
2,128,2,16kB,8,True,512kB,0.864736,168,831.6,True
2,128,2,16kB,8,True,1MB,0.864736,169,1343.6,True
2,128,2,16kB,8,True,2MB,0.864736,170,2367.6,False
2,128,2,32kB,2,True,512kB,0.864736,171,846.8,True
2,128,2,32kB,2,True,1MB,0.864736,172,1358.8,True
2,128,2,32kB,2,True,2MB,0.864736,173,2382.8,False
2,128,2,32kB,4,True,512kB,0.864736,174,847.6,True
2,128,2,32kB,4,True,1MB,0.864736,175,1359.6,True
2,128,2,32kB,4,True,2MB,0.864736,176,2383.6,False
2,128,2,32kB,8,True,512kB,0.864736,177,849.2,True
2,128,2,32kB,8,True,1MB,0.864736,178,1361.2,True
2,128,2,32kB,8,True,2MB,0.864736,179,2385.2,False
2,128,2,64kB,2,True,512kB,0.864853,180,879.6,True
2,128,2,64kB,2,True,1MB,0.864853,181,1391.6,True
2,128,2,64kB,2,True,2MB,0.864853,182,2415.6,False
2,128,2,64kB,4,True,512kB,0.864856,183,881.2,True
2,128,2,64kB,4,True,1MB,0.864856,184,1393.2,True
2,128,2,64kB,4,True,2MB,0.864856,185,2417.2,False
2,128,2,64kB,8,True,512kB,0.864856,186,884.4,True
2,128,2,64kB,8,True,1MB,0.864856,187,1396.4,True
2,128,2,64kB,8,True,2MB,0.864856,188,2420.4,False
2,128,4,16kB,2,True,512kB,0.86513,189,840.4,True
2,128,4,16kB,2,True,1MB,0.86513,190,1352.4,True
2,128,4,16kB,2,True,2MB,0.86513,191,2376.4,False
2,128,4,16kB,4,True,512kB,0.865136,192,840.8,True
2,128,4,16kB,4,True,1MB,0.865136,193,1352.8,True
2,128,4,16kB,4,True,2MB,0.865136,194,2376.8,False
2,128,4,16kB,8,True,512kB,0.865136,195,841.6,True
2,128,4,16kB,8,True,1MB,0.865136,196,1353.6,True
2,128,4,16kB,8,True,2MB,0.865136,197,2377.6,False
2,128,4,32kB,2,True,512kB,0.865136,198,856.8,True
2,128,4,32kB,2,True,1MB,0.865136,199,1368.8,True
2,128,4,32kB,2,True,2MB,0.865136,200,2392.8,False
2,128,4,32kB,4,True,512kB,0.865136,201,857.6,True
2,128,4,32kB,4,True,1MB,0.865136,202,1369.6,True
2,128,4,32kB,4,True,2MB,0.865136,203,2393.6,False
2,128,4,32kB,8,True,512kB,0.865136,204,859.2,True
2,128,4,32kB,8,True,1MB,0.865136,205,1371.2,True
2,128,4,32kB,8,True,2MB,0.865136,206,2395.2,False
2,128,4,64kB,2,True,512kB,0.86525,207,889.6,True
2,128,4,64kB,2,True,1MB,0.86525,208,1401.6,True
2,128,4,64kB,2,True,2MB,0.86525,209,2425.6,False
2,128,4,64kB,4,True,512kB,0.86526,210,891.2,True
2,128,4,64kB,4,True,1MB,0.86526,211,1403.2,True
2,128,4,64kB,4,True,2MB,0.86526,212,2427.2,False
2,128,4,64kB,8,True,512kB,0.86526,213,894.4,True
2,128,4,64kB,8,True,1MB,0.86526,214,1406.4,True
2,128,4,64kB,8,True,2MB,0.86526,215,2430.4,False
2,128,8,16kB,2,True,512kB,0.865152,216,860.4,True
2,128,8,16kB,2,True,1MB,0.865152,217,1372.4,True
2,128,8,16kB,2,True,2MB,0.865152,218,2396.4,False
2,128,8,16kB,4,True,512kB,0.865156,219,860.8,True
2,128,8,16kB,4,True,1MB,0.865156,220,1372.8,True
2,128,8,16kB,4,True,2MB,0.865156,221,2396.8,False
2,128,8,16kB,8,True,512kB,0.865156,222,861.6,True
2,128,8,16kB,8,True,1MB,0.865156,223,1373.6,True
2,128,8,16kB,8,True,2MB,0.865156,224,2397.6,False
2,128,8,32kB,2,True,512kB,0.865156,225,876.8,True
2,128,8,32kB,2,True,1MB,0.865156,226,1388.8,True
2,128,8,32kB,2,True,2MB,0.865156,227,2412.8,False
2,128,8,32kB,4,True,512kB,0.865156,228,877.6,True
2,128,8,32kB,4,True,1MB,0.865156,229,1389.6,True
2,128,8,32kB,4,True,2MB,0.865156,230,2413.6,False
2,128,8,32kB,8,True,512kB,0.865156,231,879.2,True
2,128,8,32kB,8,True,1MB,0.865156,232,1391.2,True
2,128,8,32kB,8,True,2MB,0.865156,233,2415.2,False
2,128,8,64kB,2,True,512kB,0.865277,234,909.6,True
2,128,8,64kB,2,True,1MB,0.865277,235,1421.6,True
2,128,8,64kB,2,True,2MB,0.865277,236,2445.6,False
2,128,8,64kB,4,True,512kB,0.865275,237,911.2,True
2,128,8,64kB,4,True,1MB,0.865275,238,1423.2,True
2,128,8,64kB,4,True,2MB,0.865275,239,2447.2,False
2,128,8,64kB,8,True,512kB,0.865275,240,914.4,True
2,128,8,64kB,8,True,1MB,0.865275,241,1426.4,True
2,128,8,64kB,8,True,2MB,0.865275,242,2450.4,False
4,32,2,16kB,2,True,512kB,1.042244,243,786.4,True
4,32,2,16kB,2,True,1MB,1.042244,244,1298.4,True
4,32,2,16kB,2,True,2MB,1.042244,245,2322.4,False
4,32,2,16kB,4,True,512kB,1.042424,246,786.8,True
4,32,2,16kB,4,True,1MB,1.042424,247,1298.8,True
4,32,2,16kB,4,True,2MB,1.042424,248,2322.8,False
4,32,2,16kB,8,True,512kB,1.042424,249,787.6,True
4,32,2,16kB,8,True,1MB,1.042424,250,1299.6,True
4,32,2,16kB,8,True,2MB,1.042424,251,2323.6,False
4,32,2,32kB,2,True,512kB,1.042424,252,802.8,True
4,32,2,32kB,2,True,1MB,1.042424,253,1314.8,True
4,32,2,32kB,2,True,2MB,1.042424,254,2338.8,False
4,32,2,32kB,4,True,512kB,1.042424,255,803.6,True
4,32,2,32kB,4,True,1MB,1.042424,256,1315.6,True
4,32,2,32kB,4,True,2MB,1.042424,257,2339.6,False
4,32,2,32kB,8,True,512kB,1.042424,258,805.2,True
4,32,2,32kB,8,True,1MB,1.042424,259,1317.2,True
4,32,2,32kB,8,True,2MB,1.042424,260,2341.2,False
4,32,2,64kB,2,True,512kB,1.042511,261,835.6,True
4,32,2,64kB,2,True,1MB,1.042511,262,1347.6,True
4,32,2,64kB,2,True,2MB,1.042511,263,2371.6,False
4,32,2,64kB,4,True,512kB,1.042573,264,837.2,True
4,32,2,64kB,4,True,1MB,1.042573,265,1349.2,True
4,32,2,64kB,4,True,2MB,1.042573,266,2373.2,False
4,32,2,64kB,8,True,512kB,1.042573,267,840.4,True
4,32,2,64kB,8,True,1MB,1.042573,268,1352.4,True
4,32,2,64kB,8,True,2MB,1.042573,269,2376.4,False
4,32,4,16kB,2,True,512kB,1.042424,270,796.4,True
4,32,4,16kB,2,True,1MB,1.042424,271,1308.4,True
4,32,4,16kB,2,True,2MB,1.042424,272,2332.4,False
4,32,4,16kB,4,True,512kB,1.042424,273,796.8,True
4,32,4,16kB,4,True,1MB,1.042424,274,1308.8,True
4,32,4,16kB,4,True,2MB,1.042424,275,2332.8,False
4,32,4,16kB,8,True,512kB,1.042424,276,797.6,True
4,32,4,16kB,8,True,1MB,1.042424,277,1309.6,True
4,32,4,16kB,8,True,2MB,1.042424,278,2333.6,False
4,32,4,32kB,2,True,512kB,1.042424,279,812.8,True
4,32,4,32kB,2,True,1MB,1.042424,280,1324.8,True
4,32,4,32kB,2,True,2MB,1.042424,281,2348.8,False
4,32,4,32kB,4,True,512kB,1.042424,282,813.6,True
4,32,4,32kB,4,True,1MB,1.042424,283,1325.6,True
4,32,4,32kB,4,True,2MB,1.042424,284,2349.6,False
4,32,4,32kB,8,True,512kB,1.042424,285,815.2,True
4,32,4,32kB,8,True,1MB,1.042424,286,1327.2,True
4,32,4,32kB,8,True,2MB,1.042424,287,2351.2,False
4,32,4,64kB,2,True,512kB,1.042511,288,845.6,True
4,32,4,64kB,2,True,1MB,1.042511,289,1357.6,True
4,32,4,64kB,2,True,2MB,1.042511,290,2381.6,False
4,32,4,64kB,4,True,512kB,1.042573,291,847.2,True
4,32,4,64kB,4,True,1MB,1.042573,292,1359.2,True
4,32,4,64kB,4,True,2MB,1.042573,293,2383.2,False
4,32,4,64kB,8,True,512kB,1.042573,294,850.4,True
4,32,4,64kB,8,True,1MB,1.042573,295,1362.4,True
4,32,4,64kB,8,True,2MB,1.042573,296,2386.4,False
4,32,8,16kB,2,True,512kB,1.042424,297,816.4,True
4,32,8,16kB,2,True,1MB,1.042424,298,1328.4,True
4,32,8,16kB,2,True,2MB,1.042424,299,2352.4,False
4,32,8,16kB,4,True,512kB,1.042424,300,816.8,True
4,32,8,16kB,4,True,1MB,1.042424,301,1328.8,True
4,32,8,16kB,4,True,2MB,1.042424,302,2352.8,False
4,32,8,16kB,8,True,512kB,1.042424,303,817.6,True
4,32,8,16kB,8,True,1MB,1.042424,304,1329.6,True
4,32,8,16kB,8,True,2MB,1.042424,305,2353.6,False
4,32,8,32kB,2,True,512kB,1.042424,306,832.8,True
4,32,8,32kB,2,True,1MB,1.042424,307,1344.8,True
4,32,8,32kB,2,True,2MB,1.042424,308,2368.8,False
4,32,8,32kB,4,True,512kB,1.042424,309,833.6,True
4,32,8,32kB,4,True,1MB,1.042424,310,1345.6,True
4,32,8,32kB,4,True,2MB,1.042424,311,2369.6,False
4,32,8,32kB,8,True,512kB,1.042424,312,835.2,True
4,32,8,32kB,8,True,1MB,1.042424,313,1347.2,True
4,32,8,32kB,8,True,2MB,1.042424,314,2371.2,False
4,32,8,64kB,2,True,512kB,1.042511,315,865.6,True
