issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,128,8,16kB,2,True,512kB,0.57464,216,860.4,True
2,128,8,16kB,2,True,1MB,0.592211,217,1372.4,True
2,128,8,16kB,2,True,2MB,0.635089,218,2396.4,False
2,128,8,16kB,4,True,512kB,0.574779,219,860.8,True
2,128,8,16kB,4,True,1MB,0.591959,220,1372.8,True
2,128,8,16kB,4,True,2MB,0.635085,221,2396.8,False
2,128,8,16kB,8,True,512kB,0.573907,222,861.6,True
2,128,8,16kB,8,True,1MB,0.592434,223,1373.6,True
2,128,8,16kB,8,True,2MB,0.635083,224,2397.6,False
2,128,8,32kB,2,True,512kB,0.575017,225,876.8,True
2,128,8,32kB,2,True,1MB,0.593046,226,1388.8,True
2,128,8,32kB,2,True,2MB,0.635099,227,2412.8,False
2,128,8,32kB,4,True,512kB,0.575228,228,877.6,True
2,128,8,32kB,4,True,1MB,0.592569,229,1389.6,True
2,128,8,32kB,4,True,2MB,0.635097,230,2413.6,False
2,128,8,32kB,8,True,512kB,0.575109,231,879.2,True
2,128,8,32kB,8,True,1MB,0.592642,232,1391.2,True
2,128,8,32kB,8,True,2MB,0.635089,233,2415.2,False
2,128,8,64kB,2,True,512kB,0.577168,234,909.6,True
2,128,8,64kB,2,True,1MB,0.595153,235,1421.6,True
2,128,8,64kB,2,True,2MB,0.635235,236,2445.6,False
2,128,8,64kB,4,True,512kB,0.57708,237,911.2,True
2,128,8,64kB,4,True,1MB,0.594849,238,1423.2,True
2,128,8,64kB,4,True,2MB,0.635235,239,2447.2,False
2,128,8,64kB,8,True,512kB,0.577637,240,914.4,True
2,128,8,64kB,8,True,1MB,0.594486,241,1426.4,True
2,128,8,64kB,8,True,2MB,0.635227,242,2450.4,False
4,32,2,16kB,2,True,512kB,0.529489,243,786.4,True
4,32,2,16kB,2,True,1MB,0.576542,244,1298.4,True
4,32,2,16kB,2,True,2MB,0.628709,245,2322.4,False
4,32,2,16kB,4,True,512kB,0.529059,246,786.8,True
4,32,2,16kB,4,True,1MB,0.575987,247,1298.8,True
4,32,2,16kB,4,True,2MB,0.628819,248,2322.8,False
4,32,2,16kB,8,True,512kB,0.528935,249,787.6,True
4,32,2,16kB,8,True,1MB,0.575927,250,1299.6,True
4,32,2,16kB,8,True,2MB,0.628819,251,2323.6,False
4,32,2,32kB,2,True,512kB,0.531324,252,802.8,True
4,32,2,32kB,2,True,1MB,0.577974,253,1314.8,True
4,32,2,32kB,2,True,2MB,0.628819,254,2338.8,False
4,32,2,32kB,4,True,512kB,0.530932,255,803.6,True
4,32,2,32kB,4,True,1MB,0.577527,256,1315.6,True
4,32,2,32kB,4,True,2MB,0.628819,257,2339.6,False
4,32,2,32kB,8,True,512kB,0.53041,258,805.2,True
4,32,2,32kB,8,True,1MB,0.57709,259,1317.2,True
4,32,2,32kB,8,True,2MB,0.628819,260,2341.2,False
4,32,2,64kB,2,True,512kB,0.534177,261,835.6,True
4,32,2,64kB,2,True,1MB,0.581188,262,1347.6,True
4,32,2,64kB,2,True,2MB,0.628819,263,2371.6,False
4,32,2,64kB,4,True,512kB,0.533827,264,837.2,True
4,32,2,64kB,4,True,1MB,0.580519,265,1349.2,True
4,32,2,64kB,4,True,2MB,0.628819,266,2373.2,False
4,32,2,64kB,8,True,512kB,0.53284,267,840.4,True
4,32,2,64kB,8,True,1MB,0.579716,268,1352.4,True
4,32,2,64kB,8,True,2MB,0.628819,269,2376.4,False
4,32,4,16kB,2,True,512kB,0.565995,270,796.4,True
4,32,4,16kB,2,True,1MB,0.594094,271,1308.4,True
4,32,4,16kB,2,True,2MB,0.636158,272,2332.4,False
4,32,4,16kB,4,True,512kB,0.565888,273,796.8,True
4,32,4,16kB,4,True,1MB,0.594086,274,1308.8,True
4,32,4,16kB,4,True,2MB,0.636158,275,2332.8,False
4,32,4,16kB,8,True,512kB,0.565818,276,797.6,True
4,32,4,16kB,8,True,1MB,0.593825,277,1309.6,True
4,32,4,16kB,8,True,2MB,0.636158,278,2333.6,False
4,32,4,32kB,2,True,512kB,0.567599,279,812.8,True
4,32,4,32kB,2,True,1MB,0.595083,280,1324.8,True
4,32,4,32kB,2,True,2MB,0.636158,281,2348.8,False
4,32,4,32kB,4,True,512kB,0.567478,282,813.6,True
4,32,4,32kB,4,True,1MB,0.594802,283,1325.6,True
4,32,4,32kB,4,True,2MB,0.636158,284,2349.6,False
4,32,4,32kB,8,True,512kB,0.567177,285,815.2,True
4,32,4,32kB,8,True,1MB,0.594894,286,1327.2,True
4,32,4,32kB,8,True,2MB,0.636158,287,2351.2,False
4,32,4,64kB,2,True,512kB,0.570277,288,845.6,True
4,32,4,64kB,2,True,1MB,0.597389,289,1357.6,True
