core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc_compute,config_id,cost,is_feasible,ipc_latency,ipc_concurrency
DerivO3CPU,2,64,8,32kB,4,2MB,0.8805,149,2317.6,False,0.60211,0.631168
DerivO3CPU,2,64,8,32kB,8,512kB,0.880501,150,783.2,True,0.476025,0.571991
DerivO3CPU,2,64,8,32kB,8,1MB,0.880501,151,1295.2,True,0.532439,0.590657
DerivO3CPU,2,64,8,32kB,8,2MB,0.880501,152,2319.2,False,0.60211,0.631168
DerivO3CPU,2,64,8,64kB,2,512kB,0.880558,153,813.6,True,0.477416,0.573542
DerivO3CPU,2,64,8,64kB,2,1MB,0.880558,154,1325.6,True,0.533858,0.592156
DerivO3CPU,2,64,8,64kB,2,2MB,0.880558,155,2349.6,False,0.602188,0.631168
DerivO3CPU,2,64,8,64kB,4,512kB,0.880558,156,815.2,True,0.47726,0.574678
DerivO3CPU,2,64,8,64kB,4,1MB,0.880558,157,1327.2,True,0.533643,0.592076
DerivO3CPU,2,64,8,64kB,4,2MB,0.880558,158,2351.2,False,0.602185,0.631168
DerivO3CPU,2,64,8,64kB,8,512kB,0.880558,159,818.4,True,0.477094,0.573557
DerivO3CPU,2,64,8,64kB,8,1MB,0.880558,160,1330.4,True,0.533656,0.591691
DerivO3CPU,2,64,8,64kB,8,2MB,0.880558,161,2354.4,False,0.602166,0.631168
DerivO3CPU,2,128,2,16kB,2,512kB,0.864732,162,830.4,True,0.477299,0.528048
DerivO3CPU,2,128,2,16kB,2,1MB,0.864732,163,1342.4,True,0.534106,0.57509
DerivO3CPU,2,128,2,16kB,2,2MB,0.864732,164,2366.4,False,0.60562,0.627299
DerivO3CPU,2,128,2,16kB,4,512kB,0.864736,165,830.8,True,0.477299,0.527908
DerivO3CPU,2,128,2,16kB,4,1MB,0.864736,166,1342.8,True,0.534053,0.574877
DerivO3CPU,2,128,2,16kB,4,2MB,0.864736,167,2366.8,False,0.60562,0.627297
DerivO3CPU,2,128,2,16kB,8,512kB,0.864736,168,831.6,True,0.477266,0.527728
DerivO3CPU,2,128,2,16kB,8,1MB,0.864736,169,1343.6,True,0.534074,0.574738
DerivO3CPU,2,128,2,16kB,8,2MB,0.864736,170,2367.6,False,0.60562,0.627299
DerivO3CPU,2,128,2,32kB,2,512kB,0.864736,171,846.8,True,0.47805,0.529298
DerivO3CPU,2,128,2,32kB,2,1MB,0.864736,172,1358.8,True,0.534754,0.577282
DerivO3CPU,2,128,2,32kB,2,2MB,0.864736,173,2382.8,False,0.605642,0.627299
DerivO3CPU,2,128,2,32kB,4,512kB,0.864736,174,847.6,True,0.4781,0.528945
DerivO3CPU,2,128,2,32kB,4,1MB,0.864736,175,1359.6,True,0.534867,0.576384
DerivO3CPU,2,128,2,32kB,4,2MB,0.864736,176,2383.6,False,0.605638,0.627325
DerivO3CPU,2,128,2,32kB,8,512kB,0.864736,177,849.2,True,0.477923,0.528284
DerivO3CPU,2,128,2,32kB,8,1MB,0.864736,178,1361.2,True,0.534643,0.576012
DerivO3CPU,2,128,2,32kB,8,2MB,0.864736,179,2385.2,False,0.605638,0.627309
DerivO3CPU,2,128,2,64kB,2,512kB,0.864853,180,879.6,True,0.479716,0.532892
DerivO3CPU,2,128,2,64kB,2,1MB,0.864853,181,1391.6,True,0.536518,0.579802
DerivO3CPU,2,128,2,64kB,2,2MB,0.864853,182,2415.6,False,0.605685,0.627299
DerivO3CPU,2,128,2,64kB,4,512kB,0.864856,183,881.2,True,0.479954,0.53234
DerivO3CPU,2,128,2,64kB,4,1MB,0.864856,184,1393.2,True,0.536368,0.578976
DerivO3CPU,2,128,2,64kB,4,2MB,0.864856,185,2417.2,False,0.605678,0.627371
DerivO3CPU,2,128,2,64kB,8,512kB,0.864856,186,884.4,True,0.479563,0.531405
DerivO3CPU,2,128,2,64kB,8,1MB,0.864856,187,1396.4,True,0.536302,0.577994
DerivO3CPU,2,128,2,64kB,8,2MB,0.864856,188,2420.4,False,0.60569,0.627355
DerivO3CPU,2,128,4,16kB,2,512kB,0.86513,189,840.4,True,0.477341,0.564946
DerivO3CPU,2,128,4,16kB,2,1MB,0.86513,190,1352.4,True,0.534277,0.592047
DerivO3CPU,2,128,4,16kB,2,2MB,0.86513,191,2376.4,False,0.605772,0.634504
DerivO3CPU,2,128,4,16kB,4,512kB,0.865136,192,840.8,True,0.477341,0.564823
DerivO3CPU,2,128,4,16kB,4,1MB,0.865136,193,1352.8,True,0.534284,0.592027
DerivO3CPU,2,128,4,16kB,4,2MB,0.865136,194,2376.8,False,0.605772,0.634537
DerivO3CPU,2,128,4,16kB,8,512kB,0.865136,195,841.6,True,0.477301,0.564775
DerivO3CPU,2,128,4,16kB,8,1MB,0.865136,196,1353.6,True,0.534324,0.591888
DerivO3CPU,2,128,4,16kB,8,2MB,0.865136,197,2377.6,False,0.605772,0.634537
DerivO3CPU,2,128,4,32kB,2,512kB,0.865136,198,856.8,True,0.478037,0.566043
DerivO3CPU,2,128,4,32kB,2,1MB,0.865136,199,1368.8,True,0.535422,0.592901
DerivO3CPU,2,128,4,32kB,2,2MB,0.865136,200,2392.8,False,0.605789,0.634504
DerivO3CPU,2,128,4,32kB,4,512kB,0.865136,201,857.6,True,0.478007,0.565761
DerivO3CPU,2,128,4,32kB,4,1MB,0.865136,202,1369.6,True,0.535244,0.592673
DerivO3CPU,2,128,4,32kB,4,2MB,0.865136,203,2393.6,False,0.605784,0.634504
DerivO3CPU,2,128,4,32kB,8,512kB,0.865136,204,859.2,True,0.477921,0.565605
DerivO3CPU,2,128,4,32kB,8,1MB,0.865136,205,1371.2,True,0.535164,0.592635
DerivO3CPU,2,128,4,32kB,8,2MB,0.865136,206,2395.2,False,0.605784,0.634504
DerivO3CPU,2,128,4,64kB,2,512kB,0.86525,207,889.6,True,0.479756,0.568491
DerivO3CPU,2,128,4,64kB,2,1MB,0.86525,208,1401.6,True,0.536576,0.594877
DerivO3CPU,2,128,4,64kB,2,2MB,0.86525,209,2425.6,False,0.605856,0.634635
DerivO3CPU,2,128,4,64kB,4,512kB,0.86526,210,891.2,True,0.479815,0.56809
DerivO3CPU,2,128,4,64kB,4,1MB,0.86526,211,1403.2,True,0.536424,0.594789
DerivO3CPU,2,128,4,64kB,4,2MB,0.86526,212,2427.2,False,0.605826,0.634632
DerivO3CPU,2,128,4,64kB,8,512kB,0.86526,213,894.4,True,0.479448,0.567649
DerivO3CPU,2,128,4,64kB,8,1MB,0.86526,214,1406.4,True,0.536356,0.594194
DerivO3CPU,2,128,4,64kB,8,2MB,0.86526,215,2430.4,False,0.605826,0.634637
DerivO3CPU,2,128,8,16kB,2,512kB,0.865152,216,860.4,True,0.477347,0.57464
DerivO3CPU,2,128,8,16kB,2,1MB,0.865152,217,1372.4,True,0.534283,0.592211
DerivO3CPU,2,128,8,16kB,2,2MB,0.865152,218,2396.4,False,0.605781,0.635089
