issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,128,4,32kB,8,True,2MB,0.605784,206,2395.2,False
2,128,4,64kB,2,True,512kB,0.479756,207,889.6,True
2,128,4,64kB,2,True,1MB,0.536576,208,1401.6,True
2,128,4,64kB,2,True,2MB,0.605856,209,2425.6,False
2,128,4,64kB,4,True,512kB,0.479815,210,891.2,True
2,128,4,64kB,4,True,1MB,0.536424,211,1403.2,True
2,128,4,64kB,4,True,2MB,0.605826,212,2427.2,False
2,128,4,64kB,8,True,512kB,0.479448,213,894.4,True
2,128,4,64kB,8,True,1MB,0.536356,214,1406.4,True
2,128,4,64kB,8,True,2MB,0.605826,215,2430.4,False
2,128,8,16kB,2,True,512kB,0.477347,216,860.4,True
2,128,8,16kB,2,True,1MB,0.534283,217,1372.4,True
2,128,8,16kB,2,True,2MB,0.605781,218,2396.4,False
2,128,8,16kB,4,True,512kB,0.477347,219,860.8,True
2,128,8,16kB,4,True,1MB,0.53429,220,1372.8,True
2,128,8,16kB,4,True,2MB,0.605781,221,2396.8,False
2,128,8,16kB,8,True,512kB,0.477306,222,861.6,True
2,128,8,16kB,8,True,1MB,0.534331,223,1373.6,True
2,128,8,16kB,8,True,2MB,0.605781,224,2397.6,False
2,128,8,32kB,2,True,512kB,0.478042,225,876.8,True
2,128,8,32kB,2,True,1MB,0.535428,226,1388.8,True
2,128,8,32kB,2,True,2MB,0.605797,227,2412.8,False
2,128,8,32kB,4,True,512kB,0.478013,228,877.6,True
2,128,8,32kB,4,True,1MB,0.535259,229,1389.6,True
2,128,8,32kB,4,True,2MB,0.605793,230,2413.6,False
2,128,8,32kB,8,True,512kB,0.477926,231,879.2,True
2,128,8,32kB,8,True,1MB,0.53518,232,1391.2,True
2,128,8,32kB,8,True,2MB,0.605793,233,2415.2,False
2,128,8,64kB,2,True,512kB,0.479762,234,909.6,True
2,128,8,64kB,2,True,1MB,0.536583,235,1421.6,True
2,128,8,64kB,2,True,2MB,0.605865,236,2445.6,False
2,128,8,64kB,4,True,512kB,0.47982,237,911.2,True
2,128,8,64kB,4,True,1MB,0.536431,238,1423.2,True
2,128,8,64kB,4,True,2MB,0.605834,239,2447.2,False
2,128,8,64kB,8,True,512kB,0.479453,240,914.4,True
2,128,8,64kB,8,True,1MB,0.536363,241,1426.4,True
2,128,8,64kB,8,True,2MB,0.605834,242,2450.4,False
4,32,2,16kB,2,True,512kB,0.47808,243,786.4,True
4,32,2,16kB,2,True,1MB,0.535068,244,1298.4,True
4,32,2,16kB,2,True,2MB,0.607136,245,2322.4,False
4,32,2,16kB,4,True,512kB,0.478019,246,786.8,True
4,32,2,16kB,4,True,1MB,0.535142,247,1298.8,True
