config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
191,2,128,4,16kB,2,2MB,0.86513
192,2,128,4,16kB,4,512kB,0.865136
193,2,128,4,16kB,4,1MB,0.865136
194,2,128,4,16kB,4,2MB,0.865136
195,2,128,4,16kB,8,512kB,0.865136
196,2,128,4,16kB,8,1MB,0.865136
197,2,128,4,16kB,8,2MB,0.865136
198,2,128,4,32kB,2,512kB,0.865136
199,2,128,4,32kB,2,1MB,0.865136
200,2,128,4,32kB,2,2MB,0.865136
201,2,128,4,32kB,4,512kB,0.865136
202,2,128,4,32kB,4,1MB,0.865136
203,2,128,4,32kB,4,2MB,0.865136
204,2,128,4,32kB,8,512kB,0.865136
205,2,128,4,32kB,8,1MB,0.865136
206,2,128,4,32kB,8,2MB,0.865136
207,2,128,4,64kB,2,512kB,0.86525
208,2,128,4,64kB,2,1MB,0.86525
209,2,128,4,64kB,2,2MB,0.86525
210,2,128,4,64kB,4,512kB,0.86526
211,2,128,4,64kB,4,1MB,0.86526
212,2,128,4,64kB,4,2MB,0.86526
213,2,128,4,64kB,8,512kB,0.86526
214,2,128,4,64kB,8,1MB,0.86526
215,2,128,4,64kB,8,2MB,0.86526
216,2,128,8,16kB,2,512kB,0.865152
217,2,128,8,16kB,2,1MB,0.865152
218,2,128,8,16kB,2,2MB,0.865152
219,2,128,8,16kB,4,512kB,0.865156
220,2,128,8,16kB,4,1MB,0.865156
221,2,128,8,16kB,4,2MB,0.865156
222,2,128,8,16kB,8,512kB,0.865156
223,2,128,8,16kB,8,1MB,0.865156
224,2,128,8,16kB,8,2MB,0.865156
225,2,128,8,32kB,2,512kB,0.865156
226,2,128,8,32kB,2,1MB,0.865156
227,2,128,8,32kB,2,2MB,0.865156
228,2,128,8,32kB,4,512kB,0.865156
229,2,128,8,32kB,4,1MB,0.865156
230,2,128,8,32kB,4,2MB,0.865156
231,2,128,8,32kB,8,512kB,0.865156
232,2,128,8,32kB,8,1MB,0.865156
233,2,128,8,32kB,8,2MB,0.865156
234,2,128,8,64kB,2,512kB,0.865277
235,2,128,8,64kB,2,1MB,0.865277
236,2,128,8,64kB,2,2MB,0.865277
237,2,128,8,64kB,4,512kB,0.865275
238,2,128,8,64kB,4,1MB,0.865275
239,2,128,8,64kB,4,2MB,0.865275
240,2,128,8,64kB,8,512kB,0.865275
241,2,128,8,64kB,8,1MB,0.865275
242,2,128,8,64kB,8,2MB,0.865275
243,4,32,2,16kB,2,512kB,1.042244
244,4,32,2,16kB,2,1MB,1.042244
245,4,32,2,16kB,2,2MB,1.042244
246,4,32,2,16kB,4,512kB,1.042424
247,4,32,2,16kB,4,1MB,1.042424
248,4,32,2,16kB,4,2MB,1.042424
249,4,32,2,16kB,8,512kB,1.042424
250,4,32,2,16kB,8,1MB,1.042424
251,4,32,2,16kB,8,2MB,1.042424
252,4,32,2,32kB,2,512kB,1.042424
253,4,32,2,32kB,2,1MB,1.042424
254,4,32,2,32kB,2,2MB,1.042424
255,4,32,2,32kB,4,512kB,1.042424
256,4,32,2,32kB,4,1MB,1.042424
257,4,32,2,32kB,4,2MB,1.042424
258,4,32,2,32kB,8,512kB,1.042424
259,4,32,2,32kB,8,1MB,1.042424
260,4,32,2,32kB,8,2MB,1.042424
261,4,32,2,64kB,2,512kB,1.042511
262,4,32,2,64kB,2,1MB,1.042511
263,4,32,2,64kB,2,2MB,1.042511
264,4,32,2,64kB,4,512kB,1.042573
265,4,32,2,64kB,4,1MB,1.042573
266,4,32,2,64kB,4,2MB,1.042573
267,4,32,2,64kB,8,512kB,1.042573
268,4,32,2,64kB,8,1MB,1.042573
269,4,32,2,64kB,8,2MB,1.042573
270,4,32,4,16kB,2,512kB,1.042424
271,4,32,4,16kB,2,1MB,1.042424
272,4,32,4,16kB,2,2MB,1.042424
273,4,32,4,16kB,4,512kB,1.042424
274,4,32,4,16kB,4,1MB,1.042424
275,4,32,4,16kB,4,2MB,1.042424
276,4,32,4,16kB,8,512kB,1.042424
277,4,32,4,16kB,8,1MB,1.042424
278,4,32,4,16kB,8,2MB,1.042424
279,4,32,4,32kB,2,512kB,1.042424
280,4,32,4,32kB,2,1MB,1.042424
281,4,32,4,32kB,2,2MB,1.042424
282,4,32,4,32kB,4,512kB,1.042424
283,4,32,4,32kB,4,1MB,1.042424
284,4,32,4,32kB,4,2MB,1.042424
285,4,32,4,32kB,8,512kB,1.042424
286,4,32,4,32kB,8,1MB,1.042424
287,4,32,4,32kB,8,2MB,1.042424
288,4,32,4,64kB,2,512kB,1.042511
289,4,32,4,64kB,2,1MB,1.042511
290,4,32,4,64kB,2,2MB,1.042511
291,4,32,4,64kB,4,512kB,1.042573
292,4,32,4,64kB,4,1MB,1.042573
293,4,32,4,64kB,4,2MB,1.042573
294,4,32,4,64kB,8,512kB,1.042573
295,4,32,4,64kB,8,1MB,1.042573
296,4,32,4,64kB,8,2MB,1.042573
297,4,32,8,16kB,2,512kB,1.042424
298,4,32,8,16kB,2,1MB,1.042424
299,4,32,8,16kB,2,2MB,1.042424
300,4,32,8,16kB,4,512kB,1.042424
301,4,32,8,16kB,4,1MB,1.042424
302,4,32,8,16kB,4,2MB,1.042424
303,4,32,8,16kB,8,512kB,1.042424
304,4,32,8,16kB,8,1MB,1.042424
305,4,32,8,16kB,8,2MB,1.042424
306,4,32,8,32kB,2,512kB,1.042424
307,4,32,8,32kB,2,1MB,1.042424
308,4,32,8,32kB,2,2MB,1.042424
309,4,32,8,32kB,4,512kB,1.042424
310,4,32,8,32kB,4,1MB,1.042424
311,4,32,8,32kB,4,2MB,1.042424
312,4,32,8,32kB,8,512kB,1.042424
313,4,32,8,32kB,8,1MB,1.042424
314,4,32,8,32kB,8,2MB,1.042424
315,4,32,8,64kB,2,512kB,1.042511
316,4,32,8,64kB,2,1MB,1.042511
317,4,32,8,64kB,2,2MB,1.042511
318,4,32,8,64kB,4,512kB,1.042573
319,4,32,8,64kB,4,1MB,1.042573
320,4,32,8,64kB,4,2MB,1.042573
321,4,32,8,64kB,8,512kB,1.042573
322,4,32,8,64kB,8,1MB,1.042573
323,4,32,8,64kB,8,2MB,1.042573
324,4,64,2,16kB,2,512kB,1.0518
325,4,64,2,16kB,2,1MB,1.0518
326,4,64,2,16kB,2,2MB,1.0518
327,4,64,2,16kB,4,512kB,1.051877
328,4,64,2,16kB,4,1MB,1.051877
329,4,64,2,16kB,4,2MB,1.051877
330,4,64,2,16kB,8,512kB,1.052753
331,4,64,2,16kB,8,1MB,1.052753
332,4,64,2,16kB,8,2MB,1.052753
333,4,64,2,32kB,2,512kB,1.052753
334,4,64,2,32kB,2,1MB,1.052753
335,4,64,2,32kB,2,2MB,1.052753
336,4,64,2,32kB,4,512kB,1.052752
337,4,64,2,32kB,4,1MB,1.052752
338,4,64,2,32kB,4,2MB,1.052752
339,4,64,2,32kB,8,512kB,1.052753
340,4,64,2,32kB,8,1MB,1.052753
341,4,64,2,32kB,8,2MB,1.052753
342,4,64,2,64kB,2,512kB,1.05288
343,4,64,2,64kB,2,1MB,1.05288
344,4,64,2,64kB,2,2MB,1.05288
345,4,64,2,64kB,4,512kB,1.052887
346,4,64,2,64kB,4,1MB,1.052887
347,4,64,2,64kB,4,2MB,1.052887
348,4,64,2,64kB,8,512kB,1.052887
349,4,64,2,64kB,8,1MB,1.052887
350,4,64,2,64kB,8,2MB,1.052887
351,4,64,4,16kB,2,512kB,1.052857
352,4,64,4,16kB,2,1MB,1.052857
353,4,64,4,16kB,2,2MB,1.052857
354,4,64,4,16kB,4,512kB,1.052866
355,4,64,4,16kB,4,1MB,1.052866
356,4,64,4,16kB,4,2MB,1.052866
357,4,64,4,16kB,8,512kB,1.052866
358,4,64,4,16kB,8,1MB,1.052866
359,4,64,4,16kB,8,2MB,1.052866
360,4,64,4,32kB,2,512kB,1.052866
361,4,64,4,32kB,2,1MB,1.052866
362,4,64,4,32kB,2,2MB,1.052866
363,4,64,4,32kB,4,512kB,1.052865
364,4,64,4,32kB,4,1MB,1.052865
365,4,64,4,32kB,4,2MB,1.052865
366,4,64,4,32kB,8,512kB,1.052866
367,4,64,4,32kB,8,1MB,1.052866
368,4,64,4,32kB,8,2MB,1.052866
369,4,64,4,64kB,2,512kB,1.052992
370,4,64,4,64kB,2,1MB,1.052992
371,4,64,4,64kB,2,2MB,1.052992
372,4,64,4,64kB,4,512kB,1.053
373,4,64,4,64kB,4,1MB,1.053
374,4,64,4,64kB,4,2MB,1.053
375,4,64,4,64kB,8,512kB,1.053
376,4,64,4,64kB,8,1MB,1.053
377,4,64,4,64kB,8,2MB,1.053
378,4,64,8,16kB,2,512kB,1.052857
379,4,64,8,16kB,2,1MB,1.052857
380,4,64,8,16kB,2,2MB,1.052857
381,4,64,8,16kB,4,512kB,1.052866
382,4,64,8,16kB,4,1MB,1.052866
383,4,64,8,16kB,4,2MB,1.052866
384,4,64,8,16kB,8,512kB,1.052866
385,4,64,8,16kB,8,1MB,1.052866
386,4,64,8,16kB,8,2MB,1.052866
387,4,64,8,32kB,2,512kB,1.052866
388,4,64,8,32kB,2,1MB,1.052866
389,4,64,8,32kB,2,2MB,1.052866
390,4,64,8,32kB,4,512kB,1.052865
391,4,64,8,32kB,4,1MB,1.052865
392,4,64,8,32kB,4,2MB,1.052865
393,4,64,8,32kB,8,512kB,1.052866
394,4,64,8,32kB,8,1MB,1.052866
395,4,64,8,32kB,8,2MB,1.052866
396,4,64,8,64kB,2,512kB,1.052992
397,4,64,8,64kB,2,1MB,1.052992
398,4,64,8,64kB,2,2MB,1.052992
399,4,64,8,64kB,4,512kB,1.053
400,4,64,8,64kB,4,1MB,1.053
401,4,64,8,64kB,4,2MB,1.053
402,4,64,8,64kB,8,512kB,1.053
403,4,64,8,64kB,8,1MB,1.053
404,4,64,8,64kB,8,2MB,1.053
405,4,128,2,16kB,2,512kB,1.060022
406,4,128,2,16kB,2,1MB,1.060022
407,4,128,2,16kB,2,2MB,1.060022
408,4,128,2,16kB,4,512kB,1.060354
409,4,128,2,16kB,4,1MB,1.060354
410,4,128,2,16kB,4,2MB,1.060354
411,4,128,2,16kB,8,512kB,1.060353
412,4,128,2,16kB,8,1MB,1.060353
413,4,128,2,16kB,8,2MB,1.060353
414,4,128,2,32kB,2,512kB,1.060353
415,4,128,2,32kB,2,1MB,1.060353
416,4,128,2,32kB,2,2MB,1.060353
417,4,128,2,32kB,4,512kB,1.060352
418,4,128,2,32kB,4,1MB,1.060352
419,4,128,2,32kB,4,2MB,1.060352
420,4,128,2,32kB,8,512kB,1.060353
421,4,128,2,32kB,8,1MB,1.060353
422,4,128,2,32kB,8,2MB,1.060353
423,4,128,2,64kB,2,512kB,1.060455
424,4,128,2,64kB,2,1MB,1.060455
425,4,128,2,64kB,2,2MB,1.060455
426,4,128,2,64kB,4,512kB,1.060455
427,4,128,2,64kB,4,1MB,1.060455
428,4,128,2,64kB,4,2MB,1.060455
429,4,128,2,64kB,8,512kB,1.060455
430,4,128,2,64kB,8,1MB,1.060455
431,4,128,2,64kB,8,2MB,1.060455
432,4,128,4,16kB,2,512kB,1.060901
433,4,128,4,16kB,2,1MB,1.060901
434,4,128,4,16kB,2,2MB,1.060901
435,4,128,4,16kB,4,512kB,1.060909
436,4,128,4,16kB,4,1MB,1.060909
437,4,128,4,16kB,4,2MB,1.060909
438,4,128,4,16kB,8,512kB,1.060904
439,4,128,4,16kB,8,1MB,1.060904
440,4,128,4,16kB,8,2MB,1.060904
441,4,128,4,32kB,2,512kB,1.060904
442,4,128,4,32kB,2,1MB,1.060904
443,4,128,4,32kB,2,2MB,1.060904
444,4,128,4,32kB,4,512kB,1.060903
445,4,128,4,32kB,4,1MB,1.060903
446,4,128,4,32kB,4,2MB,1.060903
447,4,128,4,32kB,8,512kB,1.060904
448,4,128,4,32kB,8,1MB,1.060904
449,4,128,4,32kB,8,2MB,1.060904
450,4,128,4,64kB,2,512kB,1.061016
451,4,128,4,64kB,2,1MB,1.061016
452,4,128,4,64kB,2,2MB,1.061016
453,4,128,4,64kB,4,512kB,1.061016
454,4,128,4,64kB,4,1MB,1.061016
455,4,128,4,64kB,4,2MB,1.061016
456,4,128,4,64kB,8,512kB,1.061016
457,4,128,4,64kB,8,1MB,1.061016
458,4,128,4,64kB,8,2MB,1.061016
459,4,128,8,16kB,2,512kB,1.060918
460,4,128,8,16kB,2,1MB,1.060918
461,4,128,8,16kB,2,2MB,1.060918
462,4,128,8,16kB,4,512kB,1.060918
463,4,128,8,16kB,4,1MB,1.060918
464,4,128,8,16kB,4,2MB,1.060918
465,4,128,8,16kB,8,512kB,1.060918
466,4,128,8,16kB,8,1MB,1.060918
467,4,128,8,16kB,8,2MB,1.060918
468,4,128,8,32kB,2,512kB,1.060918
469,4,128,8,32kB,2,1MB,1.060918
470,4,128,8,32kB,2,2MB,1.060918
471,4,128,8,32kB,4,512kB,1.060918
472,4,128,8,32kB,4,1MB,1.060918
473,4,128,8,32kB,4,2MB,1.060918
474,4,128,8,32kB,8,512kB,1.060918
475,4,128,8,32kB,8,1MB,1.060918
476,4,128,8,32kB,8,2MB,1.060918
477,4,128,8,64kB,2,512kB,1.061093
478,4,128,8,64kB,2,1MB,1.061093
479,4,128,8,64kB,2,2MB,1.061093
480,4,128,8,64kB,4,512kB,1.061095
481,4,128,8,64kB,4,1MB,1.061095
482,4,128,8,64kB,4,2MB,1.061095
483,4,128,8,64kB,8,512kB,1.061095
484,4,128,8,64kB,8,1MB,1.061095
485,4,128,8,64kB,8,2MB,1.061095
486,8,32,2,16kB,2,512kB,1.048043
487,8,32,2,16kB,2,1MB,1.048043
488,8,32,2,16kB,2,2MB,1.048043
489,8,32,2,16kB,4,512kB,1.048445
490,8,32,2,16kB,4,1MB,1.048445
491,8,32,2,16kB,4,2MB,1.048445
492,8,32,2,16kB,8,512kB,1.048445
493,8,32,2,16kB,8,1MB,1.048445
494,8,32,2,16kB,8,2MB,1.048445
495,8,32,2,32kB,2,512kB,1.048445
496,8,32,2,32kB,2,1MB,1.048445
497,8,32,2,32kB,2,2MB,1.048445
498,8,32,2,32kB,4,512kB,1.048444
499,8,32,2,32kB,4,1MB,1.048444
500,8,32,2,32kB,4,2MB,1.048444
501,8,32,2,32kB,8,512kB,1.048445
502,8,32,2,32kB,8,1MB,1.048445
503,8,32,2,32kB,8,2MB,1.048445
504,8,32,2,64kB,2,512kB,1.048542
505,8,32,2,64kB,2,1MB,1.048542
506,8,32,2,64kB,2,2MB,1.048542
507,8,32,2,64kB,4,512kB,1.048542
508,8,32,2,64kB,4,1MB,1.048542
509,8,32,2,64kB,4,2MB,1.048542
510,8,32,2,64kB,8,512kB,1.048542
511,8,32,2,64kB,8,1MB,1.048542
512,8,32,2,64kB,8,2MB,1.048542
