config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
244,128kB,16,1MB,2,0.557971
245,128kB,16,1MB,4,0.557971
246,128kB,16,1MB,8,0.557498
247,128kB,16,1MB,16,0.563931
248,128kB,16,2MB,2,0.641508
249,128kB,16,2MB,4,0.641652
250,128kB,16,2MB,8,0.641652
251,128kB,16,2MB,16,0.641652
252,128kB,16,4MB,2,0.641652
253,128kB,16,4MB,4,0.641652
254,128kB,16,4MB,8,0.641652
255,128kB,16,4MB,16,0.641652
