config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
371,4,64,4,64kB,2,2MB,0.639025
372,4,64,4,64kB,4,512kB,0.571901
373,4,64,4,64kB,4,1MB,0.599363
374,4,64,4,64kB,4,2MB,0.639043
375,4,64,4,64kB,8,512kB,0.571417
376,4,64,4,64kB,8,1MB,0.598975
377,4,64,4,64kB,8,2MB,0.639029
378,4,64,8,16kB,2,512kB,0.577794
379,4,64,8,16kB,2,1MB,0.597209
380,4,64,8,16kB,2,2MB,0.639501
381,4,64,8,16kB,4,512kB,0.577922
382,4,64,8,16kB,4,1MB,0.597051
383,4,64,8,16kB,4,2MB,0.639501
384,4,64,8,16kB,8,512kB,0.578236
385,4,64,8,16kB,8,1MB,0.597141
386,4,64,8,16kB,8,2MB,0.639501
387,4,64,8,32kB,2,512kB,0.579679
388,4,64,8,32kB,2,1MB,0.597881
389,4,64,8,32kB,2,2MB,0.639501
390,4,64,8,32kB,4,512kB,0.578998
391,4,64,8,32kB,4,1MB,0.597783
392,4,64,8,32kB,4,2MB,0.639501
393,4,64,8,32kB,8,512kB,0.579583
394,4,64,8,32kB,8,1MB,0.597589
395,4,64,8,32kB,8,2MB,0.639501
396,4,64,8,64kB,2,512kB,0.580258
397,4,64,8,64kB,2,1MB,0.59974
398,4,64,8,64kB,2,2MB,0.639501
399,4,64,8,64kB,4,512kB,0.580248
400,4,64,8,64kB,4,1MB,0.599562
401,4,64,8,64kB,4,2MB,0.639529
402,4,64,8,64kB,8,512kB,0.581776
403,4,64,8,64kB,8,1MB,0.59912
404,4,64,8,64kB,8,2MB,0.639501
405,4,128,2,16kB,2,512kB,0.533221
406,4,128,2,16kB,2,1MB,0.580798
407,4,128,2,16kB,2,2MB,0.63404
408,4,128,2,16kB,4,512kB,0.532935
409,4,128,2,16kB,4,1MB,0.580863
410,4,128,2,16kB,4,2MB,0.63421
411,4,128,2,16kB,8,512kB,0.532863
412,4,128,2,16kB,8,1MB,0.580675
413,4,128,2,16kB,8,2MB,0.63421
414,4,128,2,32kB,2,512kB,0.535008
415,4,128,2,32kB,2,1MB,0.582598
416,4,128,2,32kB,2,2MB,0.63421
417,4,128,2,32kB,4,512kB,0.534647
418,4,128,2,32kB,4,1MB,0.582126
419,4,128,2,32kB,4,2MB,0.63421
420,4,128,2,32kB,8,512kB,0.533952
421,4,128,2,32kB,8,1MB,0.581535
422,4,128,2,32kB,8,2MB,0.63421
423,4,128,2,64kB,2,512kB,0.537913
424,4,128,2,64kB,2,1MB,0.585452
425,4,128,2,64kB,2,2MB,0.63421
426,4,128,2,64kB,4,512kB,0.537453
427,4,128,2,64kB,4,1MB,0.585056
428,4,128,2,64kB,4,2MB,0.63421
429,4,128,2,64kB,8,512kB,0.5366
430,4,128,2,64kB,8,1MB,0.583671
431,4,128,2,64kB,8,2MB,0.63421
432,4,128,4,16kB,2,512kB,0.570785
433,4,128,4,16kB,2,1MB,0.598623
434,4,128,4,16kB,2,2MB,0.641838
435,4,128,4,16kB,4,512kB,0.570696
436,4,128,4,16kB,4,1MB,0.598616
437,4,128,4,16kB,4,2MB,0.641837
438,4,128,4,16kB,8,512kB,0.570668
439,4,128,4,16kB,8,1MB,0.598654
440,4,128,4,16kB,8,2MB,0.641837
441,4,128,4,32kB,2,512kB,0.571963
442,4,128,4,32kB,2,1MB,0.599341
443,4,128,4,32kB,2,2MB,0.641838
444,4,128,4,32kB,4,512kB,0.571662
445,4,128,4,32kB,4,1MB,0.599237
446,4,128,4,32kB,4,2MB,0.64183
447,4,128,4,32kB,8,512kB,0.571496
448,4,128,4,32kB,8,1MB,0.599106
449,4,128,4,32kB,8,2MB,0.641816
450,4,128,4,64kB,2,512kB,0.57416
451,4,128,4,64kB,2,1MB,0.601523
452,4,128,4,64kB,2,2MB,0.641838
453,4,128,4,64kB,4,512kB,0.573898
454,4,128,4,64kB,4,1MB,0.60126
455,4,128,4,64kB,4,2MB,0.641817
456,4,128,4,64kB,8,512kB,0.57331
457,4,128,4,64kB,8,1MB,0.600992
458,4,128,4,64kB,8,2MB,0.641827
459,4,128,8,16kB,2,512kB,0.579543
460,4,128,8,16kB,2,1MB,0.59889
461,4,128,8,16kB,2,2MB,0.642186
462,4,128,8,16kB,4,512kB,0.579224
463,4,128,8,16kB,4,1MB,0.598909
464,4,128,8,16kB,4,2MB,0.642184
