config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
193,2,128,4,16kB,4,1MB,0.534284
194,2,128,4,16kB,4,2MB,0.605772
195,2,128,4,16kB,8,512kB,0.477301
196,2,128,4,16kB,8,1MB,0.534324
197,2,128,4,16kB,8,2MB,0.605772
198,2,128,4,32kB,2,512kB,0.478037
199,2,128,4,32kB,2,1MB,0.535422
200,2,128,4,32kB,2,2MB,0.605789
201,2,128,4,32kB,4,512kB,0.478007
202,2,128,4,32kB,4,1MB,0.535244
203,2,128,4,32kB,4,2MB,0.605784
204,2,128,4,32kB,8,512kB,0.477921
205,2,128,4,32kB,8,1MB,0.535164
206,2,128,4,32kB,8,2MB,0.605784
207,2,128,4,64kB,2,512kB,0.479756
208,2,128,4,64kB,2,1MB,0.536576
209,2,128,4,64kB,2,2MB,0.605856
210,2,128,4,64kB,4,512kB,0.479815
211,2,128,4,64kB,4,1MB,0.536424
212,2,128,4,64kB,4,2MB,0.605826
213,2,128,4,64kB,8,512kB,0.479448
214,2,128,4,64kB,8,1MB,0.536356
215,2,128,4,64kB,8,2MB,0.605826
216,2,128,8,16kB,2,512kB,0.477347
217,2,128,8,16kB,2,1MB,0.534283
218,2,128,8,16kB,2,2MB,0.605781
219,2,128,8,16kB,4,512kB,0.477347
220,2,128,8,16kB,4,1MB,0.53429
221,2,128,8,16kB,4,2MB,0.605781
222,2,128,8,16kB,8,512kB,0.477306
223,2,128,8,16kB,8,1MB,0.534331
224,2,128,8,16kB,8,2MB,0.605781
225,2,128,8,32kB,2,512kB,0.478042
226,2,128,8,32kB,2,1MB,0.535428
227,2,128,8,32kB,2,2MB,0.605797
228,2,128,8,32kB,4,512kB,0.478013
229,2,128,8,32kB,4,1MB,0.535259
230,2,128,8,32kB,4,2MB,0.605793
231,2,128,8,32kB,8,512kB,0.477926
232,2,128,8,32kB,8,1MB,0.53518
233,2,128,8,32kB,8,2MB,0.605793
234,2,128,8,64kB,2,512kB,0.479762
235,2,128,8,64kB,2,1MB,0.536583
236,2,128,8,64kB,2,2MB,0.605865
237,2,128,8,64kB,4,512kB,0.47982
238,2,128,8,64kB,4,1MB,0.536431
239,2,128,8,64kB,4,2MB,0.605834
240,2,128,8,64kB,8,512kB,0.479453
241,2,128,8,64kB,8,1MB,0.536363
242,2,128,8,64kB,8,2MB,0.605834
243,4,32,2,16kB,2,512kB,0.47808
244,4,32,2,16kB,2,1MB,0.535068
245,4,32,2,16kB,2,2MB,0.607136
246,4,32,2,16kB,4,512kB,0.478019
247,4,32,2,16kB,4,1MB,0.535142
248,4,32,2,16kB,4,2MB,0.607136
249,4,32,2,16kB,8,512kB,0.478018
250,4,32,2,16kB,8,1MB,0.535213
251,4,32,2,16kB,8,2MB,0.607136
252,4,32,2,32kB,2,512kB,0.478413
253,4,32,2,32kB,2,1MB,0.536156
254,4,32,2,32kB,2,2MB,0.607152
255,4,32,2,32kB,4,512kB,0.478501
256,4,32,2,32kB,4,1MB,0.536243
257,4,32,2,32kB,4,2MB,0.607148
258,4,32,2,32kB,8,512kB,0.478386
259,4,32,2,32kB,8,1MB,0.536204
260,4,32,2,32kB,8,2MB,0.607148
261,4,32,2,64kB,2,512kB,0.480969
262,4,32,2,64kB,2,1MB,0.537936
263,4,32,2,64kB,2,2MB,0.607313
264,4,32,2,64kB,4,512kB,0.480776
265,4,32,2,64kB,4,1MB,0.537859
266,4,32,2,64kB,4,2MB,0.607306
267,4,32,2,64kB,8,512kB,0.480445
268,4,32,2,64kB,8,1MB,0.537565
269,4,32,2,64kB,8,2MB,0.607303
270,4,32,4,16kB,2,512kB,0.478106
271,4,32,4,16kB,2,1MB,0.535213
272,4,32,4,16kB,2,2MB,0.607137
273,4,32,4,16kB,4,512kB,0.478044
274,4,32,4,16kB,4,1MB,0.535179
275,4,32,4,16kB,4,2MB,0.607137
276,4,32,4,16kB,8,512kB,0.478044
277,4,32,4,16kB,8,1MB,0.535244
278,4,32,4,16kB,8,2MB,0.607137
279,4,32,4,32kB,2,512kB,0.478437
280,4,32,4,32kB,2,1MB,0.536187
281,4,32,4,32kB,2,2MB,0.607154
282,4,32,4,32kB,4,512kB,0.478526
283,4,32,4,32kB,4,1MB,0.536272
284,4,32,4,32kB,4,2MB,0.607149
285,4,32,4,32kB,8,512kB,0.47841
286,4,32,4,32kB,8,1MB,0.536235
287,4,32,4,32kB,8,2MB,0.607149
288,4,32,4,64kB,2,512kB,0.480997
289,4,32,4,64kB,2,1MB,0.537968
290,4,32,4,64kB,2,2MB,0.607314
291,4,32,4,64kB,4,512kB,0.480804
292,4,32,4,64kB,4,1MB,0.537891
293,4,32,4,64kB,4,2MB,0.607307
294,4,32,4,64kB,8,512kB,0.480458
295,4,32,4,64kB,8,1MB,0.537597
296,4,32,4,64kB,8,2MB,0.607305
297,4,32,8,16kB,2,512kB,0.478106
298,4,32,8,16kB,2,1MB,0.535213
299,4,32,8,16kB,2,2MB,0.607137
300,4,32,8,16kB,4,512kB,0.478044
301,4,32,8,16kB,4,1MB,0.535179
302,4,32,8,16kB,4,2MB,0.607137
303,4,32,8,16kB,8,512kB,0.478044
304,4,32,8,16kB,8,1MB,0.535244
305,4,32,8,16kB,8,2MB,0.607137
306,4,32,8,32kB,2,512kB,0.478437
307,4,32,8,32kB,2,1MB,0.536187
308,4,32,8,32kB,2,2MB,0.607154
309,4,32,8,32kB,4,512kB,0.478526
310,4,32,8,32kB,4,1MB,0.536272
311,4,32,8,32kB,4,2MB,0.607149
312,4,32,8,32kB,8,512kB,0.47841
313,4,32,8,32kB,8,1MB,0.536235
314,4,32,8,32kB,8,2MB,0.607149
315,4,32,8,64kB,2,512kB,0.480997
316,4,32,8,64kB,2,1MB,0.537968
317,4,32,8,64kB,2,2MB,0.607314
318,4,32,8,64kB,4,512kB,0.480804
319,4,32,8,64kB,4,1MB,0.537891
320,4,32,8,64kB,4,2MB,0.607307
321,4,32,8,64kB,8,512kB,0.480458
322,4,32,8,64kB,8,1MB,0.537597
323,4,32,8,64kB,8,2MB,0.607305
324,4,64,2,16kB,2,512kB,0.479898
325,4,64,2,16kB,2,1MB,0.537653
326,4,64,2,16kB,2,2MB,0.609916
327,4,64,2,16kB,4,512kB,0.479812
328,4,64,2,16kB,4,1MB,0.537745
329,4,64,2,16kB,4,2MB,0.609916
330,4,64,2,16kB,8,512kB,0.480083
331,4,64,2,16kB,8,1MB,0.537507
332,4,64,2,16kB,8,2MB,0.609958
333,4,64,2,32kB,2,512kB,0.480841
334,4,64,2,32kB,2,1MB,0.538247
335,4,64,2,32kB,2,2MB,0.609974
336,4,64,2,32kB,4,512kB,0.481078
337,4,64,2,32kB,4,1MB,0.538228
338,4,64,2,32kB,4,2MB,0.60997
339,4,64,2,32kB,8,512kB,0.480989
340,4,64,2,32kB,8,1MB,0.538075
341,4,64,2,32kB,8,2MB,0.60997
342,4,64,2,64kB,2,512kB,0.48293
343,4,64,2,64kB,2,1MB,0.540022
344,4,64,2,64kB,2,2MB,0.61003
345,4,64,2,64kB,4,512kB,0.482919
346,4,64,2,64kB,4,1MB,0.539997
347,4,64,2,64kB,4,2MB,0.610024
348,4,64,2,64kB,8,512kB,0.482518
349,4,64,2,64kB,8,1MB,0.539878
350,4,64,2,64kB,8,2MB,0.610022
351,4,64,4,16kB,2,512kB,0.48017
352,4,64,4,16kB,2,1MB,0.537523
353,4,64,4,16kB,2,2MB,0.609975
354,4,64,4,16kB,4,512kB,0.48017
355,4,64,4,16kB,4,1MB,0.53734
356,4,64,4,16kB,4,2MB,0.609975
357,4,64,4,16kB,8,512kB,0.480113
358,4,64,4,16kB,8,1MB,0.537558
359,4,64,4,16kB,8,2MB,0.609975
360,4,64,4,32kB,2,512kB,0.480868
361,4,64,4,32kB,2,1MB,0.538295
362,4,64,4,32kB,2,2MB,0.609992
363,4,64,4,32kB,4,512kB,0.481108
364,4,64,4,32kB,4,1MB,0.538276
365,4,64,4,32kB,4,2MB,0.609987
366,4,64,4,32kB,8,512kB,0.48102
367,4,64,4,32kB,8,1MB,0.538111
368,4,64,4,32kB,8,2MB,0.609987
369,4,64,4,64kB,2,512kB,0.482959
370,4,64,4,64kB,2,1MB,0.540073
371,4,64,4,64kB,2,2MB,0.610047
372,4,64,4,64kB,4,512kB,0.482948
373,4,64,4,64kB,4,1MB,0.540048
374,4,64,4,64kB,4,2MB,0.610041
375,4,64,4,64kB,8,512kB,0.482619
376,4,64,4,64kB,8,1MB,0.539929
377,4,64,4,64kB,8,2MB,0.610039
378,4,64,8,16kB,2,512kB,0.480172
379,4,64,8,16kB,2,1MB,0.537523
380,4,64,8,16kB,2,2MB,0.609975
381,4,64,8,16kB,4,512kB,0.480172
382,4,64,8,16kB,4,1MB,0.53734
383,4,64,8,16kB,4,2MB,0.609975
384,4,64,8,16kB,8,512kB,0.480113
385,4,64,8,16kB,8,1MB,0.537558
386,4,64,8,16kB,8,2MB,0.609975
387,4,64,8,32kB,2,512kB,0.480868
388,4,64,8,32kB,2,1MB,0.538295
389,4,64,8,32kB,2,2MB,0.609992
390,4,64,8,32kB,4,512kB,0.481108
391,4,64,8,32kB,4,1MB,0.538276
392,4,64,8,32kB,4,2MB,0.609987
393,4,64,8,32kB,8,512kB,0.48102
394,4,64,8,32kB,8,1MB,0.538111
395,4,64,8,32kB,8,2MB,0.609987
396,4,64,8,64kB,2,512kB,0.482959
397,4,64,8,64kB,2,1MB,0.540073
398,4,64,8,64kB,2,2MB,0.610047
399,4,64,8,64kB,4,512kB,0.482948
400,4,64,8,64kB,4,1MB,0.540048
401,4,64,8,64kB,4,2MB,0.610041
402,4,64,8,64kB,8,512kB,0.482619
