core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc,config_id,cost,is_feasible
DerivO3CPU,2,128,8,16kB,8,512kB,0.573907,222,861.6,True
DerivO3CPU,2,128,8,16kB,8,1MB,0.592434,223,1373.6,True
DerivO3CPU,2,128,8,16kB,8,2MB,0.635083,224,2397.6,False
DerivO3CPU,2,128,8,32kB,2,512kB,0.575017,225,876.8,True
DerivO3CPU,2,128,8,32kB,2,1MB,0.593046,226,1388.8,True
DerivO3CPU,2,128,8,32kB,2,2MB,0.635099,227,2412.8,False
DerivO3CPU,2,128,8,32kB,4,512kB,0.575228,228,877.6,True
DerivO3CPU,2,128,8,32kB,4,1MB,0.592569,229,1389.6,True
DerivO3CPU,2,128,8,32kB,4,2MB,0.635097,230,2413.6,False
DerivO3CPU,2,128,8,32kB,8,512kB,0.575109,231,879.2,True
DerivO3CPU,2,128,8,32kB,8,1MB,0.592642,232,1391.2,True
DerivO3CPU,2,128,8,32kB,8,2MB,0.635089,233,2415.2,False
DerivO3CPU,2,128,8,64kB,2,512kB,0.577168,234,909.6,True
DerivO3CPU,2,128,8,64kB,2,1MB,0.595153,235,1421.6,True
DerivO3CPU,2,128,8,64kB,2,2MB,0.635235,236,2445.6,False
DerivO3CPU,2,128,8,64kB,4,512kB,0.57708,237,911.2,True
DerivO3CPU,2,128,8,64kB,4,1MB,0.594849,238,1423.2,True
DerivO3CPU,2,128,8,64kB,4,2MB,0.635235,239,2447.2,False
DerivO3CPU,2,128,8,64kB,8,512kB,0.577637,240,914.4,True
DerivO3CPU,2,128,8,64kB,8,1MB,0.594486,241,1426.4,True
DerivO3CPU,2,128,8,64kB,8,2MB,0.635227,242,2450.4,False
DerivO3CPU,4,32,2,16kB,2,512kB,0.529489,243,786.4,True
DerivO3CPU,4,32,2,16kB,2,1MB,0.576542,244,1298.4,True
DerivO3CPU,4,32,2,16kB,2,2MB,0.628709,245,2322.4,False
DerivO3CPU,4,32,2,16kB,4,512kB,0.529059,246,786.8,True
DerivO3CPU,4,32,2,16kB,4,1MB,0.575987,247,1298.8,True
DerivO3CPU,4,32,2,16kB,4,2MB,0.628819,248,2322.8,False
DerivO3CPU,4,32,2,16kB,8,512kB,0.528935,249,787.6,True
DerivO3CPU,4,32,2,16kB,8,1MB,0.575927,250,1299.6,True
