config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
211,128kB,4,512kB,16,0.612336
212,128kB,4,1MB,2,0.643937
213,128kB,4,1MB,4,0.643722
214,128kB,4,1MB,8,0.643839
215,128kB,4,1MB,16,0.644814
216,128kB,4,2MB,2,0.674452
217,128kB,4,2MB,4,0.674575
218,128kB,4,2MB,8,0.674575
219,128kB,4,2MB,16,0.674575
220,128kB,4,4MB,2,0.674575
221,128kB,4,4MB,4,0.674575
222,128kB,4,4MB,8,0.674575
223,128kB,4,4MB,16,0.674575
224,128kB,8,512kB,2,0.61045
225,128kB,8,512kB,4,0.61041
226,128kB,8,512kB,8,0.611145
227,128kB,8,512kB,16,0.611693
228,128kB,8,1MB,2,0.643741
229,128kB,8,1MB,4,0.643322
230,128kB,8,1MB,8,0.643436
231,128kB,8,1MB,16,0.64441
232,128kB,8,2MB,2,0.674436
233,128kB,8,2MB,4,0.674559
234,128kB,8,2MB,8,0.674559
235,128kB,8,2MB,16,0.674559
236,128kB,8,4MB,2,0.674559
237,128kB,8,4MB,4,0.674559
238,128kB,8,4MB,8,0.674559
239,128kB,8,4MB,16,0.674559
240,128kB,16,512kB,2,0.610322
241,128kB,16,512kB,4,0.61027
242,128kB,16,512kB,8,0.611164
243,128kB,16,512kB,16,0.611381
244,128kB,16,1MB,2,0.643586
245,128kB,16,1MB,4,0.643157
246,128kB,16,1MB,8,0.643101
247,128kB,16,1MB,16,0.644316
248,128kB,16,2MB,2,0.674409
249,128kB,16,2MB,4,0.674532
250,128kB,16,2MB,8,0.674532
251,128kB,16,2MB,16,0.674532
252,128kB,16,4MB,2,0.674532
253,128kB,16,4MB,4,0.674532
254,128kB,16,4MB,8,0.674532
255,128kB,16,4MB,16,0.674532
